"CrossingID","StateName","Latitude","Longitude"
"311252K","NC","34.6735240","-77.3267150"
"311253S","NC","34.678001","-77.329062"
"311254Y","NC","34.672708","-77.333284"
"311255F","NC","34.6664950","-77.3309450"
"311256M","NC","34.6673370","-77.3297600"
"311257U","NC","34.670191","-77.336837"
"311258B","NC","34.669344","-77.338033"
"311259H","NC","34.6715080","-77.3252730"
"311260C","NC","34.6690050","-77.3274250"
"311261J","NC","34.6731750","-77.3262260"
"311262R","NC","34.6681870","-77.3285570"
"311263X","NC","34.6698310","-77.3262590"
"311264E","NC","34.667633","-77.340362"
"311265L","NC","34.668510","-77.339210"
"464450D","NC","36.5411880","-078.7424110"
"464451K","NC","36.5388790","-078.7488530"
"464452S","NC","36.5378990","-078.7537540"
"465280P","NC","36.0556070","-76.6053770"
"465281W","NC","36.0570055","-76.6042486"
"465282D","NC","36.058775","-76.603137"
"465283K","NC","36.059826","-76.602809"
"465284S","NC","36.063945","-76.601375"
"465285Y","NC","36.068891","-76.598875"
"465286F","NC","36.074626","-76.597631"
"465295E","NC","36.082192","-76.590633"
"465296L","NC","36.0862450","-076.5862300"
"465297T","NC","36.1017400","-076.5693610"
"465298A","NC","36.142633","-76.524859"
"465299G","NC","36.179811","-76.484321"
"465300Y","NC","36.188599","-76.475449"
"465301F","NC","36.190191","-76.474701"
"465302M","NC","36.218001","-76.463211"
"465303U","NC","36.219549","-76.462532"
"465304B","NC","36.2246620","-076.4584070"
"465305H","NC","36.229945","-76.446969"
"465306P","NC","36.2314450","-076.4426390"
"465307W","NC","36.2334000","-076.4370120"
"465308D","NC","36.2351600","-076.4319560"
"465309K","NC","36.238518","-76.422327"
"465310E","NC","36.2435010","-076.4079580"
"465311L","NC","36.2491520","-076.3916730"
"465312T","NC","36.2505770","-076.3875680"
"465313A","NC","36.254106","-76.377422"
"465314G","NC","36.260539","-76.358847"
"465315N","NC","36.2617310","-076.3553660"
"465320K","NC","36.267461","-76.338854"
"465321S","NC","36.2692790","-076.3336030"
"465322Y","NC","36.2712960","-076.3277800"
"465323F","NC","36.273444","-76.321559"
"465324M","NC","36.2807980","-076.3003140"
"465325U","NC","36.289319","-76.275665"
"465326B","NC","36.293209","-76.264418"
"465327H","NC","36.2984490","-76.2487820"
"465328P","NC","36.299698","-76.245667"
"465329W","NC","36.3058510","-76.2149960"
"465330R","NC","36.3087500","-76.2176900"
"465331X","NC","36.3110730","-76.2211760"
"465332E","NC","36.2973790","-76.2347870"
"465334T","NC","36.2975960","-76.2437820"
"465335A","NC","36.2975300","-76.2374800"
"465336G","NC","36.2973590","-76.2326130"
"465337N","NC","36.2924610","-76.2349780"
"465338V","NC","36.2894330","-76.2343440"
"465339C","NC","36.2924610","-76.2349780"
"465340W","NC","36.2847670","-76.2329860"
"465341D","NC","36.2480930","-76.3941730"
"465342K","NC","36.0666160","-76.5999150"
"465343S","NC","36.2626110","-76.2007720"
"465344Y","NC","36.1119310","-77.1811520"
"465345F","NC","35.9078330","-77.5451130"
"465346M","NC","35.9641530","-77.9143300"
"465348B","NC","35.595998","-77.593903"
"465351J","NC","35.5992430","-77.5939410"
"465352R","NC","35.5992430","-77.5939410"
"465353X","NC","36.303416","-76.237787"
"465354E","NC","36.3044710","-076.2357260"
"465355L","NC","36.3063620","-076.2320630"
"465356T","NC","36.3068310","-076.2312640"
"465357A","NC","36.307392","-76.230413"
"465358G","NC","36.308497","-76.228996"
"465359N","NC","36.309064","-76.228339"
"465361P","NC","36.3090900","-76.2284600"
"465362W","NC","36.310465","-76.226723"
"465363D","NC","36.311514","-76.225521"
"465364K","NC","36.3131620","-076.2221600"
"465365S","NC","36.313672","-76.218691"
"465366Y","NC","36.3138840","-076.2180090"
"465367F","NC","36.3186090","-76.2039760"
"465368M","NC","36.316424","-76.211621"
"465369U","NC","36.320713","-76.177927"
"465370N","NC","36.321261","-76.176036"
"465371V","NC","36.327584","-76.169771"
"465372C","NC","36.330598","-76.167348"
"465373J","NC","36.3338250","-076.1647660"
"465374R","NC","36.3390510","-076.1605540"
"465375X","NC","36.346808","-76.154144"
"465376E","NC","36.350325","-76.151051"
"465377L","NC","36.3665500","-76.1368590"
"465378T","NC","36.360091","-76.142475"
"465379A","NC","36.3655540","-076.1376630"
"465380U","NC","36.3710180","-076.1329180"
"465381B","NC","36.384775","-76.123721"
"465382H","NC","36.3865110","-076.1208600"
"465383P","NC","36.3942940","-076.1073800"
"465384W","NC","36.401109","-76.100641"
"465385D","NC","36.4060970","-076.0970340"
"465386K","NC","36.4109240","-076.0954650"
"465387S","NC","36.417182","-76.095401"
"465388Y","NC","36.4190650","-076.0954560"
"465389F","NC","36.4220130","-076.0961050"
"465390A","NC","36.4250340","-076.0968360"
"465391G","NC","36.4257420","-076.0970140"
"465392N","NC","36.4299051","-076.0980218"
"465393V","NC","36.4323870","-076.0986300"
"465394C","NC","36.435942","-76.099495"
"465395J","NC","36.4421919","-076.1010252"
"465396R","NC","36.457005","-76.108439"
"465397X","NC","36.4637830","-076.1152480"
"465398E","NC","36.4657900","-076.1185840"
"465399L","NC","36.4692590","-076.1236740"
"465400D","NC","36.4725260","-076.1265070"
"465401K","NC","36.4766524","-076.1290351"
"465402S","NC","36.4810700","-076.1317830"
"465403Y","NC","36.485718","-76.134669"
"465404F","NC","36.4909915","-076.1379502"
"465405M","NC","36.498928","-76.142881"
"465406U","NC","36.5065990","-076.1539550"
"465407B","NC","36.5098474","-76.1600377"
"465408H","NC","36.510392","-76.161044"
"465409P","NC","36.5150289","-076.1667175"
"465410J","NC","36.5153190","-076.1670510"
"465411R","NC","36.522317","-76.175108"
"465412X","NC","36.523233","-76.176166"
"465413E","NC","36.524958","-76.178156"
"465414L","NC","36.529517","-76.181466"
"465415T","NC","36.5332728","-76.1831195"
"465416A","NC","36.5370150","-076.1847700"
"465417G","NC","36.540335","-76.186226"
"465418N","NC","36.5426550","-076.1872460"
"465419V","NC","36.5492680","-076.1901580"
"465449M","NC","35.5163565","-77.10848"
